date,window_start,window_end,n_obs_window,realized_return,realized_loss,historical_var,parametric_var,monte_carlo_var,historical_es,parametric_es,monte_carlo_es,monte_carlo_seed,expected_tail_observations,sparse_tail,historical_exception,parametric_exception,monte_carlo_exception
2016-02-26,2015-03-02,2016-02-25,250,-0.0023038590894802757,2303.8590894802755,27908.426194944906,24741.8035241564,24719.55641374358,34628.674572869495,28314.310901865883,28567.64800552667,1736020,2.5,True,False,False,False
2016-02-29,2015-03-03,2016-02-26,250,-0.007873624860072051,7873.624860072051,27908.426194944906,24759.209407420647,24582.890844751175,34628.674572869495,28329.242612518392,28311.893972445003,1736023,2.5,True,False,False,False
2016-03-01,2015-03-04,2016-02-29,250,0.02323509489661447,-23235.09489661447,27908.426194944906,24793.373864234167,24741.220782258602,34628.674572869495,28366.19224145075,28312.132721607693,1736024,2.5,True,False,False,False
2016-03-02,2015-03-05,2016-03-01,250,0.004482093051255705,-4482.093051255705,27908.426194944906,24918.82198733497,25076.671933871312,34628.674572869495,28525.913296403876,28623.3858936238,1736025,2.5,True,False,False,False
2016-03-03,2015-03-06,2016-03-02,250,0.003912321881633731,-3912.321881633731,27908.426194944906,24914.00135916637,25076.693229193803,34628.674572869495,28522.364738949098,28586.175014627333,1736026,2.5,True,False,False,False
2016-03-04,2015-03-09,2016-03-03,250,0.003248028037389991,-3248.028037389991,27908.426194944906,24761.949627207658,24680.622974994963,34628.674572869495,28358.69696177953,28565.514303963784,1736027,2.5,True,False,False,False
2016-03-07,2015-03-10,2016-03-04,250,0.00079794648400738,-797.9464840073799,27908.426194944906,24762.559526771394,24688.518491346545,34628.674572869495,28358.87834001587,28185.339754681365,1736030,2.5,True,False,False,False
2016-03-08,2015-03-11,2016-03-07,250,-0.010978084182585224,10978.084182585224,27908.426194944906,24576.800689051848,24730.202310759927,34628.674572869495,28156.055439415537,28284.530706967445,1736031,2.5,True,False,False,False
2016-03-09,2015-03-12,2016-03-08,250,0.004927856841047908,-4927.856841047908,27908.426194944906,24661.983701314435,24968.06009983535,34628.674572869495,28248.61614348774,28445.759510798624,1736032,2.5,True,False,False,False
2016-03-10,2015-03-13,2016-03-09,250,0.0008022377942201825,-802.2377942201825,27908.426194944906,24632.632062981345,24632.415385577628,34628.674572869495,28210.49901737656,28304.68847590232,1736033,2.5,True,False,False,False
